DeviceID,Date,Usage,Cost
50,10/16/2022,30,2.1060000000000003
26,10/17/2022,6,0.8640000000000001
26,10/17/2022,1800,0.648
20,10/17/2022,20,2.4480000000000004
20,10/17/2022,500,0.12
21,10/17/2022,3000,0.72
30,10/18/2022,1100,0.044
28,10/18/2022,3500,0.105
29,10/18/2022,4000,0.36
9,10/18/2022,636,0.30528
7,10/18/2022,100,0.024
47,10/18/2022,12.5,0.5850000000000001
50,10/18/2022,12.5,0.5850000000000001
50,10/18/2022,15.0,0.7020000000000001
47,10/18/2022,15.0,0.7020000000000001
2,10/18/2022,60,0.0072
6,10/18/2022,60,0.0072
13,10/18/2022,60,0.0072
25,10/18/2022,60,0.0072
35,10/18/2022,60,0.0072
39,10/18/2022,60,0.0072
43,10/18/2022,60,0.0072
26,10/19/2022,6,0.8640000000000001
26,10/19/2022,1800,0.648
20,10/19/2022,20,2.4480000000000004
20,10/19/2022,500,0.12
21,10/19/2022,3000,0.72
30,10/20/2022,1100,0.044
28,10/20/2022,3500,0.105
29,10/20/2022,4000,0.36
9,10/20/2022,636,0.30528
7,10/20/2022,100,0.024
47,10/20/2022,12.5,0.5850000000000001
50,10/20/2022,12.5,0.5850000000000001
50,10/20/2022,15.0,0.7020000000000001
47,10/20/2022,15.0,0.7020000000000001
2,10/20/2022,60,0.0072
6,10/20/2022,60,0.0072
13,10/20/2022,60,0.0072
25,10/20/2022,60,0.0072
35,10/20/2022,60,0.0072
39,10/20/2022,60,0.0072
43,10/20/2022,60,0.0072
26,10/21/2022,6,0.8640000000000001
26,10/21/2022,1800,0.648
20,10/21/2022,20,2.4480000000000004
20,10/21/2022,500,0.12
21,10/21/2022,3000,0.72
30,10/22/2022,1100,0.066
28,10/22/2022,3500,0.21
29,10/22/2022,4000,0.48
9,10/22/2022,636,0.61056
7,10/22/2022,100,0.048
47,10/22/2022,25,1.7550000000000003
50,10/22/2022,30,2.1060000000000003
30,10/23/2022,1100,0.066
28,10/23/2022,3500,0.21
29,10/23/2022,4000,0.48
9,10/23/2022,636,0.61056
7,10/23/2022,100,0.048
47,10/23/2022,25,1.7550000000000003
50,10/23/2022,30,2.1060000000000003
26,10/24/2022,6,0.8640000000000001
26,10/24/2022,1800,0.648
20,10/24/2022,20,2.4480000000000004
20,10/24/2022,500,0.12
21,10/24/2022,3000,0.72
30,10/25/2022,1100,0.044
28,10/25/2022,3500,0.105
29,10/25/2022,4000,0.36
9,10/25/2022,636,0.30528
7,10/25/2022,100,0.024
47,10/25/2022,12.5,0.5850000000000001
50,10/25/2022,12.5,0.5850000000000001
50,10/25/2022,15.0,0.7020000000000001
47,10/25/2022,15.0,0.7020000000000001
2,10/25/2022,60,0.0072
6,10/25/2022,60,0.0072
13,10/25/2022,60,0.0072
25,10/25/2022,60,0.0072
35,10/25/2022,60,0.0072
39,10/25/2022,60,0.0072
43,10/25/2022,60,0.0072
26,10/26/2022,6,0.8640000000000001
26,10/26/2022,1800,0.648
20,10/26/2022,20,2.4480000000000004
20,10/26/2022,500,0.12
21,10/26/2022,3000,0.72
30,10/27/2022,1100,0.044
28,10/27/2022,3500,0.105
29,10/27/2022,4000,0.36
9,10/27/2022,636,0.30528
7,10/27/2022,100,0.024
47,10/27/2022,12.5,0.5850000000000001
50,10/27/2022,12.5,0.5850000000000001
50,10/27/2022,15.0,0.7020000000000001
47,10/27/2022,15.0,0.7020000000000001
2,10/27/2022,60,0.0072
6,10/27/2022,60,0.0072
13,10/27/2022,60,0.0072
25,10/27/2022,60,0.0072
35,10/27/2022,60,0.0072
39,10/27/2022,60,0.0072
43,10/27/2022,60,0.0072
26,10/28/2022,6,0.8640000000000001
26,10/28/2022,1800,0.648
20,10/28/2022,20,2.4480000000000004
20,10/28/2022,500,0.12
21,10/28/2022,3000,0.72
30,10/29/2022,1100,0.066
28,10/29/2022,3500,0.21
29,10/29/2022,4000,0.48
9,10/29/2022,636,0.61056
7,10/29/2022,100,0.048
47,10/29/2022,25,1.7550000000000003
50,10/29/2022,30,2.1060000000000003
30,10/30/2022,1100,0.066
28,10/30/2022,3500,0.21
29,10/30/2022,4000,0.48
9,10/30/2022,636,0.61056
7,10/30/2022,100,0.048
47,10/30/2022,25,1.7550000000000003
50,10/30/2022,30,2.1060000000000003
26,10/31/2022,6,0.8640000000000001
26,10/31/2022,1800,0.648
20,10/31/2022,20,2.4480000000000004
20,10/31/2022,500,0.12
21,10/31/2022,3000,0.72
30,11/01/2022,1100,0.044
28,11/01/2022,3500,0.105
29,11/01/2022,4000,0.36
9,11/01/2022,636,0.30528
7,11/01/2022,100,0.024
47,11/01/2022,12.5,0.5850000000000001
50,11/01/2022,12.5,0.5850000000000001
50,11/01/2022,15.0,0.7020000000000001
47,11/01/2022,15.0,0.7020000000000001
2,11/01/2022,60,0.0072
6,11/01/2022,60,0.0072
13,11/01/2022,60,0.0072
25,11/01/2022,60,0.0072
35,11/01/2022,60,0.0072
39,11/01/2022,60,0.0072
43,11/01/2022,60,0.0072
26,11/02/2022,6,0.8640000000000001
26,11/02/2022,1800,0.648
20,11/02/2022,20,2.4480000000000004
20,11/02/2022,500,0.12
21,11/02/2022,3000,0.72
30,11/03/2022,1100,0.044
28,11/03/2022,3500,0.105
29,11/03/2022,4000,0.36
9,11/03/2022,636,0.30528
7,11/03/2022,100,0.024
47,11/03/2022,12.5,0.5850000000000001
50,11/03/2022,12.5,0.5850000000000001
50,11/03/2022,15.0,0.7020000000000001
47,11/03/2022,15.0,0.7020000000000001
2,11/03/2022,60,0.0072
6,11/03/2022,60,0.0072
13,11/03/2022,60,0.0072
25,11/03/2022,60,0.0072
35,11/03/2022,60,0.0072
39,11/03/2022,60,0.0072
43,11/03/2022,60,0.0072
26,11/04/2022,6,0.8640000000000001
26,11/04/2022,1800,0.648
20,11/04/2022,20,2.4480000000000004
20,11/04/2022,500,0.12
21,11/04/2022,3000,0.72
30,11/05/2022,1100,0.066
28,11/05/2022,3500,0.21
29,11/05/2022,4000,0.48
9,11/05/2022,636,0.61056
7,11/05/2022,100,0.048
47,11/05/2022,25,1.7550000000000003
50,11/05/2022,30,2.1060000000000003
30,11/06/2022,1100,0.066
28,11/06/2022,3500,0.21
29,11/06/2022,4000,0.48
9,11/06/2022,636,0.61056
7,11/06/2022,100,0.048
47,11/06/2022,25,1.7550000000000003
50,11/06/2022,30,2.1060000000000003
26,11/07/2022,6,0.8640000000000001
26,11/07/2022,1800,0.648
20,11/07/2022,20,2.4480000000000004
20,11/07/2022,500,0.12
21,11/07/2022,3000,0.72
30,11/08/2022,1100,0.044
28,11/08/2022,3500,0.105
29,11/08/2022,4000,0.36
9,11/08/2022,636,0.30528
7,11/08/2022,100,0.024
47,11/08/2022,12.5,0.5850000000000001
50,11/08/2022,12.5,0.5850000000000001
50,11/08/2022,15.0,0.7020000000000001
47,11/08/2022,15.0,0.7020000000000001
2,11/08/2022,60,0.0072
6,11/08/2022,60,0.0072
13,11/08/2022,60,0.0072
25,11/08/2022,60,0.0072
35,11/08/2022,60,0.0072
39,11/08/2022,60,0.0072
43,11/08/2022,60,0.0072
26,11/09/2022,6,0.8640000000000001
26,11/09/2022,1800,0.648
20,11/09/2022,20,2.4480000000000004
20,11/09/2022,500,0.12
21,11/09/2022,3000,0.72
30,11/10/2022,1100,0.044
28,11/10/2022,3500,0.105
29,11/10/2022,4000,0.36
9,11/10/2022,636,0.30528
7,11/10/2022,100,0.024
47,11/10/2022,12.5,0.5850000000000001
50,11/10/2022,12.5,0.5850000000000001
50,11/10/2022,15.0,0.7020000000000001
47,11/10/2022,15.0,0.7020000000000001
2,11/10/2022,60,0.0072
6,11/10/2022,60,0.0072
13,11/10/2022,60,0.0072
25,11/10/2022,60,0.0072
35,11/10/2022,60,0.0072
39,11/10/2022,60,0.0072
43,11/10/2022,60,0.0072
26,11/11/2022,6,0.8640000000000001
26,11/11/2022,1800,0.648
20,11/11/2022,20,2.4480000000000004
20,11/11/2022,500,0.12
21,11/11/2022,3000,0.72
30,11/12/2022,1100,0.066
28,11/12/2022,3500,0.21
29,11/12/2022,4000,0.48
9,11/12/2022,636,0.61056
7,11/12/2022,100,0.048
47,11/12/2022,25,1.7550000000000003
50,11/12/2022,30,2.1060000000000003
30,11/13/2022,1100,0.066
28,11/13/2022,3500,0.21
29,11/13/2022,4000,0.48
9,11/13/2022,636,0.61056
7,11/13/2022,100,0.048
47,11/13/2022,25,1.7550000000000003
50,11/13/2022,30,2.1060000000000003
26,11/14/2022,6,0.8640000000000001
26,11/14/2022,1800,0.648
20,11/14/2022,20,2.4480000000000004
20,11/14/2022,500,0.12
21,11/14/2022,3000,0.72
30,11/15/2022,1100,0.044
28,11/15/2022,3500,0.105
29,11/15/2022,4000,0.36
9,11/15/2022,636,0.30528
7,11/15/2022,100,0.024
47,11/15/2022,12.5,0.5850000000000001
50,11/15/2022,12.5,0.5850000000000001
50,11/15/2022,15.0,0.7020000000000001
47,11/15/2022,15.0,0.7020000000000001
2,11/15/2022,60,0.0072
6,11/15/2022,60,0.0072
13,11/15/2022,60,0.0072
25,11/15/2022,60,0.0072
35,11/15/2022,60,0.0072
39,11/15/2022,60,0.0072
43,11/15/2022,60,0.0072
26,11/16/2022,6,0.8640000000000001
26,11/16/2022,1800,0.648
20,11/16/2022,20,2.4480000000000004
20,11/16/2022,500,0.12
21,11/16/2022,3000,0.72
30,11/17/2022,1100,0.044
28,11/17/2022,3500,0.105
29,11/17/2022,4000,0.36
9,11/17/2022,636,0.30528
7,11/17/2022,100,0.024
47,11/17/2022,12.5,0.5850000000000001
50,11/17/2022,12.5,0.5850000000000001
50,11/17/2022,15.0,0.7020000000000001
47,11/17/2022,15.0,0.7020000000000001
2,11/17/2022,60,0.0072
6,11/17/2022,60,0.0072
13,11/17/2022,60,0.0072
25,11/17/2022,60,0.0072
35,11/17/2022,60,0.0072
39,11/17/2022,60,0.0072
43,11/17/2022,60,0.0072
26,11/18/2022,6,0.8640000000000001
26,11/18/2022,1800,0.648
20,11/18/2022,20,2.4480000000000004
20,11/18/2022,500,0.12
21,11/18/2022,3000,0.72
30,11/19/2022,1100,0.066
28,11/19/2022,3500,0.21
29,11/19/2022,4000,0.48
9,11/19/2022,636,0.61056
7,11/19/2022,100,0.048
47,11/19/2022,25,1.7550000000000003
50,11/19/2022,30,2.1060000000000003
30,11/20/2022,1100,0.066
28,11/20/2022,3500,0.21
29,11/20/2022,4000,0.48
9,11/20/2022,636,0.61056
7,11/20/2022,100,0.048
47,11/20/2022,25,1.7550000000000003
50,11/20/2022,30,2.1060000000000003
26,11/21/2022,6,0.8640000000000001
26,11/21/2022,1800,0.648
20,11/21/2022,20,2.4480000000000004
20,11/21/2022,500,0.12
21,11/21/2022,3000,0.72
30,11/22/2022,1100,0.044
28,11/22/2022,3500,0.105
29,11/22/2022,4000,0.36
9,11/22/2022,636,0.30528
7,11/22/2022,100,0.024
47,11/22/2022,12.5,0.5850000000000001
50,11/22/2022,12.5,0.5850000000000001
50,11/22/2022,15.0,0.7020000000000001
47,11/22/2022,15.0,0.7020000000000001
2,11/22/2022,60,0.0072
6,11/22/2022,60,0.0072
13,11/22/2022,60,0.0072
25,11/22/2022,60,0.0072
35,11/22/2022,60,0.0072
39,11/22/2022,60,0.0072
43,11/22/2022,60,0.0072
26,11/23/2022,6,0.8640000000000001
26,11/23/2022,1800,0.648
20,11/23/2022,20,2.4480000000000004
20,11/23/2022,500,0.12
21,11/23/2022,3000,0.72
30,11/24/2022,1100,0.044
28,11/24/2022,3500,0.105
29,11/24/2022,4000,0.36
9,11/24/2022,636,0.30528
7,11/24/2022,100,0.024
47,11/24/2022,12.5,0.5850000000000001
50,11/24/2022,12.5,0.5850000000000001
50,11/24/2022,15.0,0.7020000000000001
47,11/24/2022,15.0,0.7020000000000001
2,11/24/2022,60,0.0072
6,11/24/2022,60,0.0072
13,11/24/2022,60,0.0072
25,11/24/2022,60,0.0072
35,11/24/2022,60,0.0072
39,11/24/2022,60,0.0072
43,11/24/2022,60,0.0072
